Moviename'; 'Userscore';Author'
personal-shopper;8;Spangle
a-ghost-story;8;Spangle
a-ghost-story;10;bfoore90
war-for-the-planet-of-the-apes;9;Compi24
baby-driver;8;EpicLadySponge
your-name;9;Iky009
war-for-the-planet-of-the-apes;8;CineAutoctono
the-big-sick;8;Spangle
war-for-the-planet-of-the-apes;10;FreedomFighters
war-for-the-planet-of-the-apes;8;Epik_Ninnja
your-name;10;Futuredirector
the-big-sick;8;Compi24
pirates-of-the-caribbean-dead-men-tell-no-tales;8;dharma
war-for-the-planet-of-the-apes;8;EpicLadySponge
spider-man-homecoming;8;EpicLadySponge
spider-man-homecoming;8;CineAutoctono
spider-man-homecoming;8;Futuredirector
war-for-the-planet-of-the-apes;9;Muskrat147
war-for-the-planet-of-the-apes;10;bfoore90
baby-driver;9;moonman1994
baby-driver;8;bfoore90
spider-man-homecoming;8;Compi24
spider-man-homecoming;9;MasterRiley
the-circle-2017;8;abm0
baby-driver;8;BigDegs29
colossal;8;Spangle
it-comes-at-night;9;bfoore90
free-fire;8;bfoore90
colossal;9;Futuredirector
gifted;8;Compi24
alien-covenant;8;Meth-dude
gifted;10;MasterRiley
gifted;10;nestoryavith
norman-the-moderate-rise-and-tragic-fall-of-a-new-york-fixer;9;Futuredirector
war-for-the-planet-of-the-apes;9;TheQuietGamer
baby-driver;8;abm0
baby-driver;8;Compi24
baby-driver;10;MasterRiley
the-lost-city-of-z;8;Spangle
john-wick-chapter-2;10;bfoore90
baby-driver;8;Epik_Ninnja
the-lego-batman-movie;9;MasterRiley
baby-driver;9;CineAutoctono
the-lego-batman-movie;8;Spangle
the-lego-batman-movie;8;Compi24
wonder-woman;9;Compi24
the-lego-batman-movie;8;CineAutoctono
the-lego-batman-movie;8;RvwFromUpHere
john-wick-chapter-2;8;EpicLadySponge
a-united-kingdom;8;Spangle
kong-skull-island;8;bfoore90
a-united-kingdom;8;Compi24
wonder-woman;8;Pimpinpakman
the-lego-batman-movie;8;EpicLadySponge
john-wick-chapter-2;9;Muskrat147
guardians-of-the-galaxy-vol-2;8;MasterRiley
john-wick-chapter-2;8;Compi24
before-i-fall;8;bfoore90
baby-driver;8;imthenoob
life-2017;9;Meth-dude
wonder-woman;10;bfoore90
logan-2017;10;bfoore90
get-out;9;TheQuietGamer
get-out;10;bfoore90
the-great-wall;8;Pimpinpakman
baby-driver;10;Futuredirector
wonder-woman;8;dharma
the-lego-batman-movie;9;TheQuietGamer
spider-man-homecoming;8;TheQuietGamer
guardians-of-the-galaxy-vol-2;8;EpicLadySponge
the-lego-batman-movie;8;FreedomFighters
spider-man-homecoming;10;FreedomFighters
spider-man-homecoming;8;bfoore90
the-lego-batman-movie;8;Muskrat147
logan-2017;8;CineAutoctono
life-2017;8;TheQuietGamer
